序号,项目阶段,模块,"关键字
(表名+问题)","问题描述
(详细报错代码)",优先级,问题类型,问题截图,提出人,跟进人,提出时间,完成时间,问题状态,问题原因,解决方案（记录提交脚本的版本号）,备注说明,补充截图1,补充截图2,补充截图3,补充截图4,补充截图5,补充截图6
86,系统开发,dim,dim_汇率,"新增初始化任务，从2022年至今
全量：从2020年至今，每天取时间范围内的汇率
增量：每天存取近10天的汇率
建议考虑关联dim_日期表

罗列开发复核点到《开发指导手册》",,优化项,,@饶嘉璇,"@李朝中
@刘洋
@吴美琪",2025/12/26,2025/12/29,已完成,,,,,,,,,
87,系统开发,dim,dim_PBI产品信息维,表中新增【产品类型】字段，用于产品的判断,,方案调整,,@邵炜杰,@饶嘉璇,2025/12/26,2025/12/26,已解决待复测,"ALTER TABLE dim.dim_product_info_df 
ADD COLUMN product_mcm_type varchar(100) COMMENT '产品类型（模组整机）' AFTER product_series_name",,,,,,,,
88,系统开发,报表,制费率填报表,"于12月25日确认，因为会存在某个PCI的材料成本过高，需要针对该PCI调整制费率的情况，不能仅按照Offering来设置维护颗粒度。
新增字段【PCI-BOM编码】【PCI描述】【PCI编码】
新增筛选器【产品线】【产品族】及对应筛选器级联关系",高,方案调整,,@邵炜杰,@蔡岸榕,2025/12/26,2026/1/4,已解决待复测,,,,,,,,,
89,系统开发,报表,损耗率填报表,与制费率填报表调整内容一致,高,方案调整,,@邵炜杰,@蔡岸榕,2025/12/26,2026/1/4,已解决待复测,,,,,,,,,
90,系统开发,dwd,dwd_价格缺失物料信息,SRM采购要求取最高金额，不再按照工厂区分币种和最小采购数量以及MOQ,,方案调整,,@邵炜杰,@谭程俊,2025/12/26,2025/12/26,已完成,,,,,,,,,
91,内部测试,ods,标准BOM取数,ODS表中没有查到2020的数据，但PLM反馈有数,,开发问题,,@邵炜杰,@饶嘉璇,2025/12/29,2025/12/29,已完成,2020不存在满足筛选条件的数据,修改设计文档的筛选条件,,,,,,,
92,系统开发,ods,标准BOM取数,筛选条件更新,,需求确认,,@邵炜杰,@谭程俊,2025/12/29,2025/12/29,已完成,,,,,,,,,
93,内部测试,dwd,数据量不一致,"dwd_co_quotation_bom_df表中台跑数任务数据量与表内数据量不一致（表内254,942条数据，中台348622条数据）",,开发问题,,@郑日天,@谭程俊,2025/12/29,2025/12/31,已完成,之前加了分区字段，暂时删除，待确定后统一加,,,,,,,,
94,内部测试,ods,数据翻倍,"ods_sap_bpc_zhone_get_model_data_02_u_002_b00_di与源系统数据相比，数据翻倍
测试数据：
SELECT *
FROM ods.ods_sap_bpc_zhone_get_model_data_02_u_002_b00_di a
WHERE 1=1
AND a.u_project ='NOPROJECT'
AND a.u_account like '%8001010000'
AND a.u_category = 'B00'
AND a.u_currency = 'CNY'
AND a.u_customer = 'CS_NONE'
AND a.u_entity  LIKE '%Y000000038_Total%'
AND a.u_material = 'M_NONE'
AND a.u_misc1 = 'MISC1_NONE'
AND a.u_misc2 = 'MISC2_NONE'
AND a.u_product = 'PROD_NONE'
AND a.u_spare1 = 'SP1_NONE'
AND a.u_spare2 = 'SP2_NONE'
AND a.u_time = '2025.01'
目前系统数为17377866 BPC为8688933",高,源系统问题,,@陈迎颖,"@饶嘉璇
刘飞虎",2025/12/29,2025/12/29,已完成,目前定位是RFC跑出来就是double的，定位到是由于配置表中已经配置过版本B00，入参也加了版本B00，导致数据翻倍。,生压已删除配置表中的版本值，通过入参读取。重新运行即可。,,,,,,,
95,内部测试,dwd,数据异常,dwd_co_alt_gen_model_df表替代情况生成结果表只有12条（SQL表可能不正确）,,方案调整,,@郑日天,@李朝中,2025/12/29,2025/12/30,已完成,开发阶段源表没有数据，测试表已替换为源表,,,,,,,,
96,系统开发,ods,字段修改,dwd_替代情况生成结果表增加四个字段，用于帆软报表筛选,,方案调整,,@邵炜杰,@李朝中,2025/12/30,,已完成,,,,,,,,,
97,系统开发,dwd,表单修改,dwd_各系统用户展示表的【账号类型】字段逻辑修改完成（各系统已经完成改造，增添了账号类型字段，目前一部分系统直接从数据库取数，一部分从中台填报表取数，之前该字段为置空），可以继续该表的开发（前端finereport也需要填报表的制作）,,方案调整,,@郑日天,@谭程俊,2025/12/30,2025/12/30,已完成,"谭：据提出人回复acct_type字段：sap_erp 系统只有6个数这个要查原因，另外目前的情况是BI、PLM、OA、EAM没数是正常的，还没定；sql-(SELECT
     sys_code,acct_type,
    COUNT(*) AS user_count
FROM dwd.dwd_hr_sys_user_display_df
GROUP BY sys_code,acct_type
ORDER BY sys_code;)",,,,,,,,
98,内部测试,ods,PLM提供生产数据,将生产环境底表数据同步至测试环境,,源系统数据质量,,@邵炜杰,@饶嘉璇,2025/12/30,2025/12/30,已完成,"SELECT x.* FROM plm.plm_bom_item x
WHERE factory_code ='2020'",,,,,,,,
99,系统开发,ods,数据采集,dwd_会计凭证明细表开发要开通下sap-erp的BKPF的表数据采集权限,低,开发问题,,@谭程俊,"@熊生压
@吴美琪",2025/12/30,2026/1/4,已完成,,,,,,,,,
100,内部测试,dwd,数据缺漏,dwd_co_alt_gen_model_df只有549条数据，缺少一个pci_bom_code（只有三个pci_bom_code）,,"方案调整,开发问题",,@郑日天,@李朝中,2025/12/30,,已完成,,,,,,,,,
101,内部测试,dwd,模型修改,dwd_报价BOM生成表，将该表字段【项目编号】【直接父层编码】也设置为主键（原先有三个主键，现在增设两个）,高,设计未考虑全面,,@郑日天,@谭程俊,2025/12/31,2025/12/31,已完成,,,,,,,,,
102,系统开发,dwd,模型修改,"dwd_单层BOM替换明细
dwd_产品单位成本计算
dwd_产品单位成本计算-分销模组
dwd_外协成品计算
dwd_测算成本计算
dws_测算成本计算汇总
dm_最高测算成本展示表
dwd_Spart价格计算
这些表增设了筛选条件（已标黄），来源表的dt字段筛选最新日期",,方案调整,,@郑日天,@刘洋,2025/12/31,,已取消,后续新增一套历史表,,,,,,,,
103,方案设计,dwd,模型问题,关注下dwd_会计凭证明细表模型的评论提的问题,中,方案调整,,@谭程俊,@吴美琪,2025/12/31,,已解决待复测,,,,,,,,,
104,系统开发,ods,调度,日常调度运行失败，导致内存溢出，error:master does not exist,高,调度相关,,@饶嘉璇,@饶嘉璇,2025/12/31,2025/12/31,已完成,,"原因是sap-erp任务，同时运行数据量大的，导致内存溢出
超过50万数据量的任务，考虑串行
参考左图",,,,,,,
105,内部测试,dim,维度测试,dim_公司维缺失海外公司,高,无,,@吴美琪,@谭程俊,2025/12/31,2025/12/31,已完成,,,,,,,,,
106,内部测试,dws,模型修改,dwd_接单业绩模型过滤不在公司维（非全融合公司）的公司代码相关订单,高,方案调整,,@吴美琪,@谭程俊,2025/12/31,2025/12/31,已完成,,,,,,,,,
107,内部测试,dwd,数据错误,dwd_报价BOM生成表【组件数量（基本计量单位）】和【组件数量（CUn）（基本计量单位）】这两个字段的逻辑没有计算结果。即表bom中【组件单位】与【基本计量单位】不一致的情况下，当2.1不成立的逻辑没有发生换算,高,开发问题,,@郑日天,@谭程俊,2025/12/31,2025/12/31,已完成,,,,,,,,,
108,内部测试,dwd,模型修改,公式更改,高,功能调整,,@邵炜杰,@李朝中,2025/12/31,,已完成,,,,,,,,,
109,内部测试,dwd,换算单位缺失,"WITH missing_conv AS (
                SELECT 
                    bom.part_number as mat_code,
                    bom.unit as comp_unit,
                    bom.default_unit as base_unit,
                    COUNT(*) as occurrence
                FROM ods.ods_plm_bom_item_df bom
                -- 1. Left Join Material Specific
                LEFT JOIN dwd.dwd_co_material_unit_conversion_factor_df mconv
                    ON bom.part_number = mconv.mat_code
                    AND bom.unit = mconv.target_unit
                    AND bom.default_unit = mconv.basic_unit
                -- 2. Left Join Global (Approximation without full CTE logic for speed)
                LEFT JOIN (
                    SELECT DISTINCT meinh_f, meinh_t FROM ods.ods_sap_erp_zhone_unit_conversion_get_df 
                    WHERE zhsxs != 0
                ) conv
                    ON bom.unit = conv.meinh_f
                    AND bom.default_unit = conv.meinh_t
                
                WHERE bom.part_number IS NOT NULL
                  AND bom.unit != bom.default_unit  -- Needs conversion
                  AND bom.unit != '' AND bom.default_unit != ''
                  AND mconv.mat_code IS NULL        -- Missing specific
                  AND conv.meinh_f IS NULL          -- Missing global
                
                GROUP BY bom.part_number, bom.unit, bom.default_unit
            )
            SELECT * FROM missing_conv LIMIT 20;问题：缺少换算系数：
在物料专用换算表 (
dwd_co_material_unit_conversion_factor_df
) 中没有查到该物料针对 
PCS-> PC 的记录。
在 SAP 通用换算表 (
ods_sap_erp_zhone_unit_conversion_get_df
) 中也没有查到 PCS到 PC 的通用换算规则。由于专用和通用换算规则均缺失，导致代码无法进行正确换算（只能走默认值 1，但这在业务上可能是错的）。建议在源端补充 PCS到 PC的换算关系。",中,"开发问题,源系统数据质量",,@谭程俊,@邵炜杰,2025/12/31,,未开始,PCS是半成品、成品单位，PC是原材料单位，正确的应该不会出现BOM单位和基本计量单位不一致的情况。当前BOM从PLM中获取，存在BOM单位和基本计量单位不一致的情况，需源系统进行历史数据清洗,,,,,,,,
110,系统开发,ods,字段缺失,kostl这个字段dwd_会计凭证明细表模型要用ods_sap_erp_zhone_get_bseg_di缺失,中,开发问题,,@谭程俊,@赵彦,2025/12/31,,已解决待复测,,,,,,,,,
111,系统开发,ods,调度,自动调度，任务流ods_hly_ehr_py仍然在串行等待、正在执行状态,高,优化项,,@饶嘉璇,@赵彦,2026/1/4,2026/1/4,已解决待复测,可能因为生产、测试环境调度冲突,已调整调度时间，待观察情况,,,,,,,
112,系统开发,ods,调度,生产环境的调度未正常运行,高,调度相关,,@饶嘉璇,@赵彦,2026/1/4,2026/1/4,已解决待复测,与上一条情况一样,,,,,,,,
113,系统开发,dim,dim模型,dim_nums_df模型是用来干嘛的，模型设计里面没有,中,开发问题,,@刘洋,@谭程俊,2026/1/4,2026/1/4,已解决待复测,"就是一串1-100数字，之前用来分析，具体作用：1.复杂字符串分析场景：解析含特定分隔符的字符串，数字表能便捷模拟循环或递归逻辑，增强查询可移植性与性能，很有用。
2.dwd_单层BOM替换明细
递归业务逻辑场景：像 BOM 多层展开，需按序处理层级关系时，数字表可简单有效替代递归 CTE，避免性能和语法兼容问题。dim_nums_df需要迁移生产：dwd_co_bottom_bom_df用到：利用数字表 dim_nums_df (1-100) 与 dwd_co_alt_gen_model_df 进行 JOIN (n.pos <= max_pos)，将一行规则炸裂成多行，每行对应规则中的第 n 个替代对。
然后使用 SPLIT_PART 函数提取第 n 个替代对，再解析出原始物料和替代物料",,,,,,,,
114,系统开发,报表,填报表缺失,《主数据-各系统账号信息填报表》显示‘待测试’，但是平台尚未看见该表,高,开发问题,,@郑日天,@蔡岸榕,2026/1/4,2026/1/4,已完成,,,,,,,,,
115,系统开发,报表,填报表取数有误,当前《dim_PBI产品信息维表》中的产品系列分类与前台报表展示的产品系列不一致,高,开发问题,,@邵炜杰,@蔡岸榕,2026/1/4,2026/1/4,已解决待复测,,,,,,,,,
116,系统开发,报表,填报表数据展示有误,隐藏和展示的表列内容不正确,高,开发问题,,@邵炜杰,@蔡岸榕,2026/1/4,2026/1/4,已解决待复测,,,,,,,,,
117,系统开发,dwd,dwd_单层BOM替换明细,"此表做不了主键表，会触发primary key size exceed the limit.主键长度超限，设置最大也不行只能设为明细表DUPLICATE
(...AND bom.mat_code IS NOT NULL AND bom.mat_code != '' ) t GROUP BY factory_code, pci_bom_code, replace_rule_code, pci_code, pci_name, mat_code, mat_name, std_bom_mat_code, std_bom_mat_name, mat_type, comp_unit, base_unit, alternative_flag, original_flag, bom_level, offering] ,10.2.8.36: primary key size exceed the limit.)",高,开发问题,,@谭程俊,@刘洋,2026/1/4,,已完成,改成明细表，注意写入前清数,,,,,,,,
118,系统开发,ods,任务名称与目标表名不一致,任务名称“ods_mes_xspnc_view_sysusergroup_df”与目标表“ods_mes_xsp_view_sysusergroup_df”不一致,高,开发问题,,@李新莲,@李朝中,2026/1/4,2026/1/5,已完成,,,,,,,,,
119,系统开发,报表,筛选器级联,筛选器未设置级联,高,开发问题,,@邵炜杰,@蔡岸榕,2026/1/4,2026/1/5,已完成,,,,,,,,,
120,内部测试,dwd,出货明细模型-逻辑缺失,未排除抛转且退货的数据,高,开发问题,,@陈迎颖,@李新莲,2026/1/5,2026/1/8,已完成,,"修改dwd_sd_shipment_detail_df-dwd_出货明细模型任务：新加限制条件

",,,,,,,
121,内部测试,dwd,出货明细模型-逻辑错误,国内和国际出货数量判断,高,"开发问题,方案理解问题",,@陈迎颖,@李朝中,2026/1/5,,已完成,,,,,,,,,
122,内部测试,dws,出货分配模型-逻辑错误,未关联上的业绩分配，应当赋值为100，而非1,高,开发问题,,@陈迎颖,@李新莲,2026/1/5,2026/1/8,已完成,,"修改【dws_sd_shipment_performance_alloc_df-dws_出货明细模型_业绩分配】任务，如图1

",,,,,,,
123,系统开发,dwd,出货模型增加区域编码字段,"出货模型新增销售战区、销售大区、销售区域编码，需要新增
涉及：dwd_出货明细模型和dws_出货明细模型_业绩分配",高,"方案调整,开发问题",,@陈迎颖,@李新莲,2026/1/4,2026/1/8,已完成,,"1、dwd_出货明细模型--lxl 20260108
  1）【ddwd.dwd_sd_shipment_detail_df-dwd_出货明细模型】表新加字段：newest_date-订单最新日期，piz_line_name-业务产品线
  2）修改【ddwd_sd_shipment_detail_df-dwd_出货明细模型】任务：新加两个字段的取值如图1


2、dws_出货明细模型_业绩分配
1）【dws_sd_shipment_performance_alloc_df-dws_出货明细模型_业绩分配】表新加字段
2）修改【dws_sd_shipment_performance_alloc_df-dws_出货明细模型_业绩分配】任务如图3

",,,,,,,
124,系统开发,dws,dws_出货明细模型_业绩分配 -逻辑调整,"dws_出货明细模型_业绩分配 销售战区，区域，大区逻辑调整，见H列截图；目前取数不对，见M列截图
因为要根据编码找名称，所以需要在dwd_出货明细模型新增销售战区，区域，大区的编码，见问题120行
注：逻辑中“判断分配表取不到字段取dwd表”时，请将各个字段先去掉空格再判断
参考：COALESCE(NULLIF(trim(a.`sales_group_code`), ''),NULLIF(trim(s.`sales_group_code`), ''))",高,方案调整,,@陈迎颖,@李新莲,2026/1/5,2026/1/8,已完成,,修改【dws_sd_shipment_performance_alloc_df-dws_出货明细模型_业绩分配】任务，同问题123,,,,,,,
125,系统开发,dws,各个模型新增业务产品线字段,根据产品线映射关系表在订单明细模型、接单模型、验收模型新增业务产品线字段，逻辑为根据销售区域、产品类型、行业类型关联产品线映射关系表【ods_fr_product_line_mapping_df】，转换为业务产品线,高,方案调整,,@吴美琪,@谭程俊,2026/1/5,2026/1/7,已完成,"订单明细模型：1
接单业绩模型：
接单业绩模型_业绩分配：

验收明细：
验收明细_业绩分配：
周报实际数",,,,,,,,
126,系统开发,dws,各个模型新增业务产品线字段,"根据产品线映射关系表在出货模型、存量模型、标准收入成本模型新增业务产品线字段，逻辑为根据销售区域、产品类型、行业类型关联产品线映射关系表【ods_fr_product_line_mapping_df】，转换为业务产品线
20250108：dws_存量明细模型已改--LXL
20250109：dws_存量明细模型_业绩分配已改-- LCZ",高,方案调整,,"
@陈迎颖","@李朝中
@李新莲",2026/1/5,2026/1/9,已完成,"
出货明细模型：已加
出货明细模型_业绩分配：已加
存量明细模型：已加 --lxl 20250108
存量明细模型_业绩分配：已加
标准收入成本模型：已加
标准收入成本模型_业绩分配：已加",修改【dws_sd_inventory_detail_di-dws_存量明细模型】任务-ok，如图1 --LXL 20260108,,,,,,,
127,系统开发,dws,接单模型排除国内照明订单数据,接单模型/接单模型-业绩分配排除国内照明数据，在订单明细模型新增了121任务的业务产品线后，在接单模型中取订单明细模型数据时，排除销售区域=国内，业务产品线=照明的订单,高,方案调整,,@吴美琪,@谭程俊,2026/1/5,,已完成,,,,,,,,,
128,系统开发,dm,dm_最高测算成本展示表、dm_产品基准价展示表，新增字段,新增字段产品类型（模组整机），区分工程标品和分销模组及整机的数据,高,"方案调整,设计未考虑全面",,@邵炜杰,@谭程俊,2026/1/5,2026/1/5,已完成,,,,,,,,,
129,系统开发,报表,基准价调整值填报表，新增字段,新增字段产品类型（模组整机），区分工程标品和分销模组及整机的数据,高,"方案调整,设计未考虑全面",,@邵炜杰,@蔡岸榕,2026/1/5,2026/1/5,已完成,,,,,,,,,
130,系统开发,dwd,出货模型，字段值缺失，数据条数不合理,"dwd_sd_shipment_detail_df
出货模型目前【制造公司销售订单号】、【合同号】、【母合同号】、【订单类型编码】、【订单类型名称】、【请求交货日期】、【订单首次审批日期】、【订单创建日期】、【最新入库日期】、产品属性相关字段（这个暂时忽略）、【产品类型】、【行业类型】、【特殊库存标识】、【特殊库存标识名称】、【交货地址】、工厂，公司、客户、业务员、销售部门、雇员部门、销售组织、销售组、分销渠道、销售战区名称、销售大区名称、销售区域名称、客户所属国家、货代，运输方式、付款方式、挪用现货信息、是否需要验收、验收单号、验收开票日期、贸易条款、质保期、项目文本、行币种、订单金额，订单面积，均为空
且数据条数仅2000多条",高,"方案调整,开发问题",,@陈迎颖,@李朝中,2026/1/5,2026/1/5,已完成,,,,,,,,,
131,系统开发,dwd,订单明细模型金额相关字段逻辑需复核,根据图片，模型逻辑为直接获取字段数值，但是逻辑写的用其他字段相加的逻辑，核查模型数据有数据缺失。参考复核订单：order_num='0000297931'，order_item_num='000011'，该订单应该有金额值,高,开发问题,,@吴美琪,@谭程俊,2026/1/5,2026/1/5,已完成,"模型逻辑已经补充，缺失是因为KONV-KINAK<>'A'判断，没考虑字段有null值导致null值被过滤了没进入计算: SELECT kposn,knumv,kinak  from
      ods.ods_sap_erp_zhone_get_konv_so_di 
        where   kposn='000011' and knumv='0000658397' 
        kinak <> 'A'",,,,,,,,
132,系统开发,dwd,主数据-各系统账号信息填报表无数据,《主数据-各系统账号信息填报表》平台没有数据（dwd_hr_sys_user_display_df表已有数据），筛选器是空的（默认为空但是值应该取自dwd_hr_sys_user_display_df表中的sys_code字段并与该字段有联动），且目前无法增添数据,高,开发问题,,@郑日天,@蔡岸榕,2026/1/5,2026/1/5,已完成,,,,,,,,,
133,系统开发,ods,调度作业,"调度作业的sap-erp任务有报错
该任务有传参，应将任务 替换成 任务流，再次提交ods_all
见补充截图",高,调度相关,,@饶嘉璇,@李新莲,2026/1/5,2026/1/5,已解决待复测,ods_sap_erp任务流中添加SQL任务“ods_sap_erp_get_para”,,,,,,,,
134,系统开发,dwd,新增公司筛选逻辑,出货明细模型，新增筛选5，逻辑可参考dws_接单业绩模型,高,方案调整,,@陈迎颖,@李朝中,2026/1/5,,已完成,,,,,,,,,
135,内部测试,dwd,dwd_co_quotation_bom_df逻辑变动,该表【是否替代】字段逻辑修改（已标红），增加了'且alprf字段不为-1'这个条件,高,方案调整,,@郑日天,@谭程俊,2026/1/5,2026/1/5,已取消,,,,,,,,,
136,系统开发,数据初始化,BPC组织维存历史版本,BPC 组织维需要按月存一版数，ods_sap_bpc_zhone_get_dimension_attribute_u_entity_df,中,数据收集,,@陈迎颖,@饶嘉璇,2026/1/5,2026/1/5,已完成,,"-- 1. 仅建空表（列定义自动与源表一致）
CREATE TABLE ods.test20260105_ods_sap_bpc_zhone_get_dimension_attribute_entity_df
LIKE ods.ods_sap_bpc_zhone_get_dimension_attribute_entity_df;
-- 2. 灌数据
INSERT INTO ods.test20260105_ods_sap_bpc_zhone_get_dimension_attribute_entity_df
SELECT * FROM ods.ods_sap_bpc_zhone_get_dimension_attribute_entity_df;

-- 1. 仅建空表（列定义自动与源表一致）
CREATE TABLE ods.test20260105_ods_sap_bpc_zhone_get_dimension_attribute_u_entity_df
LIKE ods.ods_sap_bpc_zhone_get_dimension_attribute_u_entity_df;
-- 2. 灌数据
INSERT INTO ods.test20260105_ods_sap_bpc_zhone_get_dimension_attribute_u_entity_df
SELECT * FROM ods.ods_sap_bpc_zhone_get_dimension_attribute_u_entity_df;",,,,,,,
137,内部测试,dwd,历史数据的数据质量,"1.dwd_出货明细模型  字段【是否已验收】，【验收单号】，【验收开票日期】
存在一个交货单对应多个开票号情况，以下订单创建时间均为21年及之前
eg:VBRP-[VGBEL]:0080162567 0080165965 0080167975 0080181883
解决办法：按交货单汇总 开票号和开票日期（两字段去重汇总），按',隔开。
同时，关联条件已做修改：见具体模型
2.dwd_出货明细模型 是否已验收判断逻辑做修改",高,"方案调整,源系统数据质量",,@陈迎颖,@李朝中,2026/1/5,,已完成,,,,,,,,,
138,系统开发,报表,"制费率基线维护表
制费率填报表
损耗率填报表
工厂供货比例填报表",表头行未冻结,高,开发问题,,@邵炜杰,@蔡岸榕,2026/1/5,2026/1/6,已解决待复测,,,,,,,,,
139,系统开发,报表,dm_周报实际数,周报实际数追加业务员编码、业务员名称字段,高,方案调整,,@吴美琪,@谭程俊,2026/1/5,2026/1/5,已完成,,,,,,,,,
140,系统开发,dim,行业维表,行业维表，失效状态为N-未失效，但是有对应失效时间,低,开发问题,,@陈迎颖,@刘洋,2026/1/5,2026/1/7,已完成,,,,,,,,,
141,内部测试,dwd,dwd_co_quotation_bom_df表逻辑修改,dwd_co_quotation_bom_df表的是否替代字段alternative_flag逻辑修改,高,方案调整,,@郑日天,@谭程俊,2026/1/6,2026/1/6,已完成,,,,,,,,,
142,内部测试,dim,汇率小数位数问题,"ZSD151 销售订单=0000193676：模型的【订单金额（含运费）_含税-CNY】与ZSD151的【订单推送金额-RMB】不一致
经查：目前模型的汇率表为7.208，但SAP的值为7.20810（筛选：to_ccy IN ('CNY') AND (rate_type = 'M') AND (from_ccy = 'USD') AND （dt = '2022-11-22'）",高,开发问题,,@陈迎颖,"@李朝中
@刘洋",2026/1/6,,已完成,数据同步，字段类型设置精度太小,,,,,,,,
143,内部测试,dwd,dwd_外协成品计算,关联条件及字段逻辑修改,高,设计未考虑全面,,@邵炜杰,@谭程俊,2026/1/6,2026/1/6,已完成,"逻辑改了，但造的数没命中offering为空，筛选后物料编码在产品维表没有: SELECT 
    p.mat_pur_type,p.mat_type_code,p.special_pur_type, dim.pci_bom_code,offering
FROM dwd.dwd_co_mat_price_df p
inner JOIN dim.dim_product_info_df dim
    ON p.mat_code = dim.pci_bom_code and dim.offering='BNXⅡ1.2'
   WHERE 
   p.mat_pur_type = 'F'
  AND p.mat_type_code = 'ZFRT'    
  AND  p.special_pur_type = '30'
  ;要造  select mat_code from dwd.dwd_co_mat_price_df WHERE 
   mat_pur_type = 'F'
  AND mat_type_code = 'ZFRT'    
  AND  special_pur_type = '30'放产品维表，如图补充1@邵炜杰",,,,,,,,
144,内部测试,dwd,dwd_出货明细模型,"出货明细模型：最新入库日期计算错误：
eg:销售订单= ‘0000198148’ 最新入库日期应为“2023/2/19”
eg:销售订单= ‘0000193675’ 最新入库日期应为“2023/4/12”",高,方案理解问题,,@陈迎颖,@李朝中,2026/1/6,,已完成,,,,,,,,,
145,试点上线,ods,ods_all,"ods_all执行失败，查看子任务报错信息为：com.alibaba.datax.common.exception.DataXException: Code:[DBUtilErrorCode-07], Description:[读取数据库数据失败. 请检查您的配置的 column/table/where/querySql或者向 DBA 寻求帮助.].  - 执行的SQL为: truncate table ods.ods_oa_view_formtable_main_1669_df 具体错误信息为：com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: Getting analyzing error. Detail message: Table ods_oa_view_formtable_main_1669_df is not found.",高,开发问题,,@李新莲,"@李新莲
@饶嘉璇",2026/1/6,2026/1/9,已完成,"1、子任务流没有一起迁移
2、没有授权：
  1）plm:《PCI编码与CIP编码对应关系》pdm11.View_Unilumin_Hone_Parts_PBI ：
sql execute error, sql [SELECT * FROM View Unilumin_Hone Parts Classification order by 1 OFFSET 0 ROWS FETCH NEXT 10ROWS ONLYJ,拒
绝了对对象'LWCPropertyDefinition'(数据库'pdm11',架构'pdm11的SELECT 权限。
sql execute error, sql [SELECT firstLevelClass , secondLevelClass, threeeLevelClass FROM pdm11.View_Unilumin_Hone_Parts_Classificationorder by 1 OFFSET 0 ROWS FETCH NEXT 10 ROWS ONLY],传递给LEFT或SUBSTRING函数的长度参数无效。
  2）sap-erp:《机构单位：销售机构：文本》TVKOT
  3）sap-erp:《收入毛利表》ZTFI057
3、ods_sap_erp_zhone_get_bseg_di任务报错：NullPointerException,如补充截图2，数据源的“ZHONE_GET_BSEG”没有授权生产
4、ods_sap_erp_get_para任务执行报错：Table ods_hone_manu_factory_mapping_df is not found.
5、ods_sap_erp_vbkd_df任务执行报错：OutOfMemoryError: Java heap space
6、ods_aps_escp_inf_datacenter_o_substitutmaterials_df
7、ods_sap_erp_lips_df","1、将报错的子任务流重新导入ods_oa,ods_plm,ods_sap_erp,ods_bi
2、联系PLM负责人授权，并解决视图报错问题--20260109已授权&测试通过 LXL
3、待授权，--20260109已授权&测试通过 LXL
4、从测试环境中拿【ods_hone_manu_factory_mapping_df】的创建脚本，到生产环境中执行
5、调整JVM参数：--jvm=""-Xms2G -Xmx2G""，如图
6、APS二期暂无生产环境，测试环境连不通
7、迁移调度，无法迁移表结构，发现是字段描述有特殊符号""""，去掉重迁即可",,,,,,,
146,内部测试,dwd,dwd_订单明细模型,"dwd_订单明细模型：付款方式字段与SAP字段有差异，见右图。同时将多余的“,”去掉",高,开发问题,,@陈迎颖,@谭程俊,2026/1/6,2026/1/6,已完成,,,,,,,,,
147,内部测试,dwd,dwd_co_mat_price_df表逻辑修改,"kbetr_h
kbetr_l
kbetr_j
stprs
zstprs_hs 这五个字段的计算逻辑已修改（已标红）",高,方案调整,,@郑日天,@李朝中,2026/1/6,,已完成,@李朝中 第五个zstprs_hs字段的计算错误，逻辑是moving_avg_unit_price=zverpr_hs/peinh  请确认是否符合,,,,,,,,
148,内部测试,dwd,dwd_订单明细模型,是否验收取值由于数据来源类型较多，修订为按照来源值判断为新值,高,源系统数据质量,,@吴美琪,@谭程俊,2026/1/6,2026/1/6,已完成,,,,,,,,,
149,内部测试,dwd,dwd_报价BOM生成,原先放在上面的筛选条件是用于判断委外金额的，现已经移到了下方字段逻辑中，新增取工厂的筛选条件，只取2020和B010工厂的BOM,高,方案调整,,@邵炜杰,@谭程俊,2026/1/6,2026/1/6,已完成,,,,,,,,,
150,内部测试,dwd,dwd_出货明细模型和dws_出货明细模型_业绩分配-新增字段,"新增【订单最新日期】字段
涉及：dwd_出货明细模型和dws_出货明细模型_业绩分配",高,方案调整,,@陈迎颖,"@李朝中
@李新莲",2026/1/6,2026/1/8,已完成,,,,,,,,,
151,内部测试,dm,dm_周报实际数,新增【EHR业务员工号】字段,高,方案调整,,@吴美琪,@谭程俊,2026/1/6,2026/1/7,已完成,,,,,,,,,
152,内部测试,dws,dws_出货明细模型_业绩分配-计算错误,"计算错误：
应该是 dwd_出货明细模型 左关联 业绩分配表，会发散，这是正常的，目前没有发散反而不正常
如：order_num = '0000283402' 分配前是3条数，这三条数会分配到3个人上，最终应为9条数。目前仍为3条数",高,方案理解问题,,@陈迎颖,@李朝中,2026/1/6,,已完成,模型业务场景确定不了数据粒度，导致表模型不能使用主键模型,,,,,,,,
153,内部测试,dws,dws_出货明细模型_业绩分配-计算错误,"计算错误：
该表涉及的所有指标计算请检查=原值*分配比例/100
现在没有除以100",高,开发问题,,@陈迎颖,@李朝中,2026/1/6,,已完成,,,,,,,,,
154,内部测试,报表,主数据-各系统账号信息填报表无法填报,【账号类型】、【有效期从】、【有效期至】、【备注】这四个字段尚未实现填报功能，不能填报，【账号类型】字段有数据的需要从ods层直接获取,高,开发问题,,@郑日天,@蔡岸榕,2026/1/6,2026/1/7,已完成,,,,,,,,,
155,内部测试,dws,接单模型,dws_接单模型追加过滤条件：过滤订单状态为拒绝的订单,高,方案调整,,@吴美琪,@谭程俊,2026/1/6,2026/1/7,已完成,,,,,,,,,
